Country,ImportOrExport,Year,Weapons_Type,Units,Value,SmallArmsOnly
All Countries,Import,1962,Small Arms,354045,10604610,Yes
All Countries,Import,1962,Pistols & Revolvers,172549,1926068,Yes
Australia,Import,1962,Small Arms,11023,30093,Yes
Austria,Import,1962,Small Arms,2123,95757,Yes
Belgium,Import,1962,Small Arms,122468,7243593,Yes
Belgium,Import,1962,Pistols & Revolvers,34041,645489,Yes
Brazil,Import,1962,Pistols & Revolvers,300,1425,Yes
Canada,Import,1962,Pistols & Revolvers,225,2264,Yes
Canada,Import,1962,Small Arms,1523,4254,Yes
Czechoslovalkia,Import,1962,Pistols & Revolvers,600,4278,Yes
Denmark,Import,1962,Small Arms,60,5320,Yes
Finland,Import,1962,Small Arms,12288,480860,Yes
France,Import,1962,Small Arms,1577,12751,Yes
France,Import,1962,Pistols & Revolvers,2834,30783,Yes
Germany (Federal Republic),Import,1962,Pistols & Revolvers,47829,420329,Yes
Germany (Federal Republic),Import,1962,Small Arms,41177,601382,Yes
Italy,Import,1962,Small Arms,63712,1063708,Yes
Italy,Import,1962,Pistols & Revolvers,34028,302137,Yes
Japan,Import,1962,Pistols & Revolvers,281,2086,Yes
Japan,Import,1962,Small Arms,4044,158005,Yes
Netherlands,Import,1962,Small Arms,1406,4452,Yes
Netherlands,Import,1962,Pistols & Revolvers,289,1185,Yes
Russia / USSR (Former),Import,1962,Small Arms,400,1800,Yes
Spain,Import,1962,Pistols & Revolvers,41384,417459,Yes
Spain,Import,1962,Small Arms,18037,451218,Yes
Sweden,Import,1962,Small Arms,4430,117526,Yes
Sweden,Import,1962,Pistols & Revolvers,150,1343,Yes
Switzerland,Import,1962,Pistols & Revolvers,272,2153,Yes
Switzerland,Import,1962,Small Arms,22,2100,Yes
United Kingdom,Import,1962,Small Arms,69742,330468,Yes
United Kingdom,Import,1962,Pistols & Revolvers,10307,94826,Yes
Unspecified Country,Import,1962,Small Arms,1,484,Yes
Unspecified Country,Import,1962,Pistols & Revolvers,9,311,Yes
Yugoslavia [former] / Serbia & Montenegro,Import,1962,Small Arms,12,839,Yes
All Countries,Import,1963,Pistols & Revolvers,223068,2497427,Yes
Belgium,Import,1963,Pistols & Revolvers,27707,551210,Yes
Brazil,Import,1963,Pistols & Revolvers,300,1425,Yes
Canada,Import,1963,Pistols & Revolvers,209,2274,Yes
France,Import,1963,Pistols & Revolvers,2388,25279,Yes
Germany (Federal Republic),Import,1963,Pistols & Revolvers,77034,781719,Yes
Italy,Import,1963,Pistols & Revolvers,40720,402992,Yes
Japan,Import,1963,Pistols & Revolvers,1187,10423,Yes
Mexico,Import,1963,Pistols & Revolvers,1250,7395,Yes
Spain,Import,1963,Pistols & Revolvers,45516,467435,Yes
Switzerland,Import,1963,Pistols & Revolvers,1762,8156,Yes
United Kingdom,Import,1963,Pistols & Revolvers,24911,238160,Yes
Unspecified Country,Import,1963,Pistols & Revolvers,84,959,Yes
All Countries,Import,1973,Small Arms,,873273,No
All Countries,Import,1973,Parts & Accessories,,2332298,No
All Countries,Import,1973,Pistols & Revolvers,308154,9651106,Yes
All Countries,Import,1973,Ammunition; Explosives & Missiles,,11367671,No
Austria,Import,1973,Small Arms,,757,No
Belgium,Import,1973,Pistols & Revolvers,29531,2071001,Yes
Belgium,Import,1973,Parts & Accessories,,86263,No
Brazil,Import,1973,Small Arms,,2100,No
Brazil,Import,1973,Parts & Accessories,,10298,No
Brazil,Import,1973,Pistols & Revolvers,64899,1322645,Yes
Canada,Import,1973,Ammunition; Explosives & Missiles,,9962856,No
China (PRC),Import,1973,Small Arms,,605,No
Costa Rica,Import,1973,Small Arms,,1378,No
Denmark,Import,1973,Small Arms,,2552,No
El Salvador,Import,1973,Small Arms,,3878,No
Finland,Import,1973,Small Arms,,26089,No
France,Import,1973,Small Arms,,2045,No
France,Import,1973,Ammunition; Explosives & Missiles,,128494,No
France,Import,1973,Pistols & Revolvers,10,759,Yes
Germany (Federal Republic),Import,1973,Ammunition; Explosives & Missiles,,554758,No
Germany (Federal Republic),Import,1973,Pistols & Revolvers,135349,3746988,Yes
Germany (Federal Republic),Import,1973,Parts & Accessories,,908010,No
Germany (Federal Republic),Import,1973,Small Arms,,247190,No
Guatemala,Import,1973,Small Arms,,968,No
Hong Kong,Import,1973,Small Arms,,927,No
India,Import,1973,Small Arms,,73149,No
Indonesia,Import,1973,Small Arms,,2767,No
Italy,Import,1973,Ammunition; Explosives & Missiles,,3326,No
Italy,Import,1973,Parts & Accessories,,1111010,No
Italy,Import,1973,Pistols & Revolvers,15784,562337,Yes
Italy,Import,1973,Small Arms,,24242,No
Japan,Import,1973,Small Arms,,69578,No
Japan,Import,1973,Parts & Accessories,,7449,No
Kenya,Import,1973,Small Arms,,900,No
Mexico,Import,1973,Small Arms,,1014,No
Mexico,Import,1973,Parts & Accessories,,6760,No
Mexico,Import,1973,Ammunition; Explosives & Missiles,,213985,No
Netherlands,Import,1973,Pistols & Revolvers,150,1074,Yes
New Zealand,Import,1973,Pistols & Revolvers,10,656,Yes
New Zealand,Import,1973,Ammunition; Explosives & Missiles,,6882,No
Singapore,Import,1973,Ammunition; Explosives & Missiles,,599,No
Spain,Import,1973,Ammunition; Explosives & Missiles,,336741,No
Spain,Import,1973,Pistols & Revolvers,58397,1762923,Yes
Spain,Import,1973,Parts & Accessories,,199610,No
Spain,Import,1973,Small Arms,,353116,No
Sweden,Import,1973,Ammunition; Explosives & Missiles,,9659,No
Sweden,Import,1973,Small Arms,,573,No
Switzerland,Import,1973,Ammunition; Explosives & Missiles,,27296,No
Switzerland,Import,1973,Parts & Accessories,,579,No
Switzerland,Import,1973,Pistols & Revolvers,1963,128373,Yes
Switzerland,Import,1973,Small Arms,,12717,No
Taiwan (ROC),Import,1973,Small Arms,,17572,No
Thailand,Import,1973,Small Arms,,5153,No
Turkey,Import,1973,Pistols & Revolvers,500,16500,Yes
Turkey,Import,1973,Parts & Accessories,,2000,No
United Kingdom,Import,1973,Pistols & Revolvers,461,6500,Yes
United Kingdom,Import,1973,Ammunition; Explosives & Missiles,,122776,No
United Kingdom,Import,1973,Small Arms,,22192,No
Unspecified Country,Import,1973,Ammunition; Explosives & Missiles,,299,No
Unspecified Country,Import,1973,Parts & Accessories,,319,No
Unspecified Country,Import,1973,Small Arms,,1811,No
Venezuela,Import,1973,Pistols & Revolvers,1100,31350,Yes
All Countries,Import,1974,Parts & Accessories,,3197155,No
All Countries,Import,1974,Small Arms,,1281523,No
All Countries,Import,1974,Pistols & Revolvers,320433,10918615,Yes
All Countries,Import,1974,Ammunition; Explosives & Missiles,,9555657,No
Argentina,Import,1974,Pistols & Revolvers,3000,103095,Yes
Argentina,Import,1974,Small Arms,,4112,No
Belgium,Import,1974,Parts & Accessories,,78255,No
Belgium,Import,1974,Small Arms,,6414,No
Belgium,Import,1974,Pistols & Revolvers,21176,1856320,Yes
Belgium,Import,1974,Ammunition; Explosives & Missiles,,10235,No
Brazil,Import,1974,Parts & Accessories,,1279,No
Brazil,Import,1974,Pistols & Revolvers,53439,1283916,Yes
Brazil,Import,1974,Small Arms,,5884,No
Canada,Import,1974,Parts & Accessories,,875,No
Canada,Import,1974,Ammunition; Explosives & Missiles,,8629100,No
China (PRC),Import,1974,Small Arms,,49774,No
Costa Rica,Import,1974,Small Arms,,840,No
Denmark,Import,1974,Pistols & Revolvers,24,1535,Yes
Finland,Import,1974,Ammunition; Explosives & Missiles,,6350,No
Finland,Import,1974,Small Arms,,1280,No
France,Import,1974,Parts & Accessories,,1179,No
France,Import,1974,Small Arms,,2020,No
France,Import,1974,Pistols & Revolvers,240,31738,Yes
Germany (Federal Republic),Import,1974,Parts & Accessories,,1577697,No
Germany (Federal Republic),Import,1974,Pistols & Revolvers,138858,4367981,Yes
Germany (Federal Republic),Import,1974,Small Arms,,384258,No
Germany (Federal Republic),Import,1974,Ammunition; Explosives & Missiles,,444558,No
Hong Kong,Import,1974,Small Arms,,12096,No
India,Import,1974,Small Arms,,102488,No
Indonesia,Import,1974,Small Arms,,1427,No
Israel,Import,1974,Small Arms,,2399,No
Italy,Import,1974,Parts & Accessories,,1319374,No
Italy,Import,1974,Small Arms,,40906,No
Italy,Import,1974,Pistols & Revolvers,40145,1014516,Yes
Italy,Import,1974,Ammunition; Explosives & Missiles,,160897,No
Japan,Import,1974,Small Arms,,162794,No
Japan,Import,1974,Ammunition; Explosives & Missiles,,7345,No
Mexico,Import,1974,Parts & Accessories,,22686,No
Mexico,Import,1974,Small Arms,,682,No
Mexico,Import,1974,Ammunition; Explosives & Missiles,,11312,No
Netherlands,Import,1974,Ammunition; Explosives & Missiles,,699,No
Norway,Import,1974,Ammunition; Explosives & Missiles,,6715,No
Philippines,Import,1974,Pistols & Revolvers,622,21766,Yes
Philippines,Import,1974,Parts & Accessories,,5811,No
Spain,Import,1974,Small Arms,,361405,No
Spain,Import,1974,Parts & Accessories,,174712,No
Spain,Import,1974,Ammunition; Explosives & Missiles,,57964,No
Spain,Import,1974,Pistols & Revolvers,53482,1909280,Yes
Sweden,Import,1974,Parts & Accessories,,7124,No
Sweden,Import,1974,Ammunition; Explosives & Missiles,,7310,No
Sweden,Import,1974,Pistols & Revolvers,3410,144902,Yes
Switzerland,Import,1974,Small Arms,,1350,No
Switzerland,Import,1974,Parts & Accessories,,7404,No
Switzerland,Import,1974,Pistols & Revolvers,1797,157968,Yes
Switzerland,Import,1974,Ammunition; Explosives & Missiles,,20630,No
Taiwan (ROC),Import,1974,Pistols & Revolvers,4132,20164,Yes
Taiwan (ROC),Import,1974,Small Arms,,17929,No
Thailand,Import,1974,Small Arms,,2000,No
Turkey,Import,1974,Pistols & Revolvers,100,3500,Yes
United Kingdom,Import,1974,Small Arms,,120968,No
United Kingdom,Import,1974,Parts & Accessories,,759,No
United Kingdom,Import,1974,Pistols & Revolvers,4,1615,Yes
United Kingdom,Import,1974,Ammunition; Explosives & Missiles,,192212,No
Unspecified Country,Import,1974,Small Arms,,497,No
Unspecified Country,Import,1974,Pistols & Revolvers,4,319,Yes
Unspecified Country,Import,1974,Ammunition; Explosives & Missiles,,330,No
All Countries,Import,1975,Parts & Accessories,,3377549,No
All Countries,Import,1975,Small Arms,,994630,No
All Countries,Import,1975,Ammunition; Explosives & Missiles,,11711659,No
All Countries,Import,1975,Pistols & Revolvers,299630,11824835,Yes
Argentina,Import,1975,Pistols & Revolvers,450,16875,Yes
Belgium,Import,1975,Parts & Accessories,,199899,No
Belgium,Import,1975,Pistols & Revolvers,16898,2021217,Yes
Brazil,Import,1975,Pistols & Revolvers,62191,1722922,Yes
Brazil,Import,1975,Parts & Accessories,,2719,No
Brazil,Import,1975,Small Arms,,15430,No
Canada,Import,1975,Small Arms,,3077,No
Canada,Import,1975,Ammunition; Explosives & Missiles,,9016621,No
China (PRC),Import,1975,Small Arms,,2833,No
Denmark,Import,1975,Ammunition; Explosives & Missiles,,1252879,No
Finland,Import,1975,Small Arms,,3600,No
Finland,Import,1975,Ammunition; Explosives & Missiles,,22498,No
France,Import,1975,Ammunition; Explosives & Missiles,,72078,No
France,Import,1975,Pistols & Revolvers,142,19608,Yes
France,Import,1975,Small Arms,,1917,No
Germany (Federal Republic),Import,1975,Parts & Accessories,,2050628,No
Germany (Federal Republic),Import,1975,Small Arms,,219667,No
Germany (Federal Republic),Import,1975,Pistols & Revolvers,109165,4076652,Yes
Germany (Federal Republic),Import,1975,Ammunition; Explosives & Missiles,,143951,No
Hong Kong,Import,1975,Small Arms,,21100,No
India,Import,1975,Small Arms,,123123,No
Indonesia,Import,1975,Small Arms,,1500,No
Israel,Import,1975,Ammunition; Explosives & Missiles,,6257,No
Italy,Import,1975,Parts & Accessories,,899353,No
Italy,Import,1975,Small Arms,,17557,No
Italy,Import,1975,Pistols & Revolvers,60051,1632394,Yes
Italy,Import,1975,Ammunition; Explosives & Missiles,,239893,No
Japan,Import,1975,Small Arms,,105606,No
Japan,Import,1975,Ammunition; Explosives & Missiles,,18276,No
Korea; South (ROK),Import,1975,Small Arms,,19348,No
Mexico,Import,1975,Parts & Accessories,,41559,No
Mexico,Import,1975,Ammunition; Explosives & Missiles,,373517,No
Netherlands,Import,1975,Small Arms,,3571,No
Netherlands,Import,1975,Ammunition; Explosives & Missiles,,71940,No
New Zealand,Import,1975,Ammunition; Explosives & Missiles,,8365,No
Pakistan,Import,1975,Small Arms,,949,No
Philippines,Import,1975,Parts & Accessories,,22535,No
Philippines,Import,1975,Pistols & Revolvers,473,17035,Yes
Spain,Import,1975,Parts & Accessories,,157106,No
Spain,Import,1975,Pistols & Revolvers,48662,2184644,Yes
Spain,Import,1975,Ammunition; Explosives & Missiles,,31121,No
Spain,Import,1975,Small Arms,,352128,No
Sweden,Import,1975,Ammunition; Explosives & Missiles,,123889,No
Sweden,Import,1975,Pistols & Revolvers,100,4000,Yes
Switzerland,Import,1975,Parts & Accessories,,3351,No
Switzerland,Import,1975,Pistols & Revolvers,692,85860,Yes
Switzerland,Import,1975,Ammunition; Explosives & Missiles,,4006,No
Taiwan (ROC),Import,1975,Small Arms,,17639,No
Thailand,Import,1975,Small Arms,,6360,No
Turkey,Import,1975,Pistols & Revolvers,800,42475,Yes
United Kingdom,Import,1975,Pistols & Revolvers,6,1153,Yes
United Kingdom,Import,1975,Ammunition; Explosives & Missiles,,325952,No
United Kingdom,Import,1975,Small Arms,,78958,No
Unspecified Country,Import,1975,Parts & Accessories,,399,No
Unspecified Country,Import,1975,Ammunition; Explosives & Missiles,,416,No
Unspecified Country,Import,1975,Small Arms,,267,No
Afghanistan,Import,1979,Small Arms,,8798,Yes
All Countries,Import,1979,Small Arms,,65784220,Yes
All Countries,Import,1979,Small Arms Ammunition,,4932962,Yes
All Countries,Import,1979,Small Arms,,2062573,Yes
All Countries,Import,1979,Pistols & Revolvers,,15114440,Yes
All Countries,Import,1979,Ammunition; Explosives & Missiles,,6601195,No
All Countries,Import,1979,Parts & Accessories,,29039430,No
Argentina,Import,1979,Pistols & Revolvers,,89638,Yes
Australia,Import,1979,Small Arms,,34966,Yes
Australia,Import,1979,Ammunition; Explosives & Missiles,,502,No
Australia,Import,1979,Parts & Accessories,,1812,No
Austria,Import,1979,Small Arms,,601154,Yes
Austria,Import,1979,Ammunition; Explosives & Missiles,,27035,No
Austria,Import,1979,Parts & Accessories,,56929,No
Belgium,Import,1979,Small Arms,,3749354,Yes
Belgium,Import,1979,Small Arms,,13407,Yes
Belgium,Import,1979,Small Arms Ammunition,,142820,Yes
Belgium,Import,1979,Ammunition; Explosives & Missiles,,9451,No
Belgium,Import,1979,Pistols & Revolvers,,2196843,Yes
Belgium,Import,1979,Parts & Accessories,,1118409,No
Brazil,Import,1979,Small Arms,,6731888,Yes
Brazil,Import,1979,Pistols & Revolvers,,2190269,Yes
Brazil,Import,1979,Parts & Accessories,,408443,No
Canada,Import,1979,Small Arms,,1584732,Yes
Canada,Import,1979,Small Arms,,1521,Yes
Canada,Import,1979,Small Arms Ammunition,,313585,Yes
Canada,Import,1979,Ammunition; Explosives & Missiles,,748736,No
Canada,Import,1979,Pistols & Revolvers,,6774,Yes
Canada,Import,1979,Parts & Accessories,,546775,No
Chile,Import,1979,Small Arms,,29572,Yes
China [PRC],Import,1979,Small Arms,,10876,Yes
Czechoslovalkia,Import,1979,Small Arms,,1458,Yes
Czechoslovalkia,Import,1979,Pistols & Revolvers,,2308,Yes
Denmark,Import,1979,Small Arms,,22156,Yes
Dominican Republic,Import,1979,Small Arms,,1334,Yes
Egypt,Import,1979,Small Arms Ammunition,,734243,Yes
El Salvador,Import,1979,Small Arms,,994,Yes
Finland,Import,1979,Small Arms,,1233716,Yes
Finland,Import,1979,Small Arms,,1445,Yes
Finland,Import,1979,Small Arms Ammunition,,55919,Yes
Finland,Import,1979,Pistols & Revolvers,,7759,Yes
Finland,Import,1979,Parts & Accessories,,160184,No
France,Import,1979,Small Arms,,172481,Yes
France,Import,1979,Small Arms,,12771,Yes
France,Import,1979,Small Arms Ammunition,,7437,Yes
France,Import,1979,Pistols & Revolvers,,178315,Yes
France,Import,1979,Ammunition; Explosives & Missiles,,24145,No
France,Import,1979,Parts & Accessories,,9500,No
German Democratic Republic [former],Import,1979,Small Arms,,37009,Yes
German Democratic Republic [former],Import,1979,Parts & Accessories,,14190,No
Germany (Federal Republic),Import,1979,Small Arms,,5460048,Yes
Germany (Federal Republic),Import,1979,Small Arms Ammunition,,268732,Yes
Germany (Federal Republic),Import,1979,Small Arms,,446634,Yes
Germany (Federal Republic),Import,1979,Pistols & Revolvers,,3530377,Yes
Germany (Federal Republic),Import,1979,Ammunition; Explosives & Missiles,,1194058,No
Germany (Federal Republic),Import,1979,Parts & Accessories,,3743563,No
Greece,Import,1979,Ammunition; Explosives & Missiles,,2256,No
Guatemala,Import,1979,Small Arms,,3870,Yes
Hong Kong,Import,1979,Parts & Accessories,,2891,No
Hong Kong,Import,1979,Small Arms,,7291,Yes
Hungary,Import,1979,Small Arms Ammunition,,5375,Yes
Hungary,Import,1979,Small Arms,,9218,Yes
India,Import,1979,Small Arms,,311718,Yes
India,Import,1979,Small Arms,,11092,Yes
India,Import,1979,Small Arms Ammunition,,11471,Yes
Indonesia,Import,1979,Small Arms,,5898,Yes
Israel,Import,1979,Parts & Accessories,,16570,No
Israel,Import,1979,Small Arms,,46212,Yes
Israel,Import,1979,Ammunition; Explosives & Missiles,,7392,No
Italy,Import,1979,Small Arms,,11046130,Yes
Italy,Import,1979,Small Arms,,22764,Yes
Italy,Import,1979,Small Arms Ammunition,,62563,Yes
Italy,Import,1979,Ammunition; Explosives & Missiles,,203873,No
Italy,Import,1979,Pistols & Revolvers,,3980287,Yes
Italy,Import,1979,Parts & Accessories,,3276714,No
Japan,Import,1979,Small Arms,,24116590,Yes
Japan,Import,1979,Small Arms,,255212,Yes
Japan,Import,1979,Small Arms Ammunition,,3020,Yes
Japan,Import,1979,Pistols & Revolvers,,16307,Yes
Japan,Import,1979,Ammunition; Explosives & Missiles,,94264,No
Japan,Import,1979,Parts & Accessories,,14426460,No
Kenya,Import,1979,Small Arms,,542,Yes
Kenya,Import,1979,Small Arms,,3167,Yes
Korea; South,Import,1979,Ammunition; Explosives & Missiles,,334996,No
