country,importOrExport,year,weapons_Type,units,value,smallArmsOnly
Afghanistan,Export,1962,Non-Military Firearms (89431),18,683,Yes
Africa,Export,1962,Non-Military Firearms (89431),6,773,Yes
All Countries,Export,1962,Non-Military Firearms (89431),123689,4076435,Yes
Angola,Export,1962,Non-Military Firearms (89431),162,5246,Yes
Argentina,Export,1962,Non-Military Firearms (89431),143,5804,Yes
Australia,Export,1962,Non-Military Firearms (89431),6234,176466,Yes
Austria,Export,1962,Non-Military Firearms (89431),85,4635,Yes
Bahamas,Export,1962,Non-Military Firearms (89431),19,2020,Yes
Belgium,Export,1962,Non-Military Firearms (89431),431,18654,Yes
Bolivia,Export,1962,Non-Military Firearms (89431),1078,36233,Yes
Brazil,Export,1962,Non-Military Firearms (89431),383,11804,Yes
Burma,Export,1962,Non-Military Firearms (89431),328,12188,Yes
Canada,Export,1962,Non-Military Firearms (89431),40366,1674717,Yes
Carribean,Export,1962,Non-Military Firearms (89431),518,10347,Yes
Chile,Export,1962,Non-Military Firearms (89431),419,11383,Yes
Colombia,Export,1962,Non-Military Firearms (89431),5752,174886,Yes
Costa Rica,Export,1962,Non-Military Firearms (89431),459,10444,Yes
Cyprus,Export,1962,Non-Military Firearms (89431),41,2404,Yes
Denmark,Export,1962,Non-Military Firearms (89431),4295,106860,Yes
Dominican Republic,Export,1962,Non-Military Firearms (89431),1011,46522,Yes
Ecuador,Export,1962,Non-Military Firearms (89431),450,14957,Yes
El Salvador,Export,1962,Non-Military Firearms (89431),675,21923,Yes
Finland,Export,1962,Non-Military Firearms (89431),1986,50080,Yes
France,Export,1962,Non-Military Firearms (89431),2111,106621,Yes
Germany (Federal Republic),Export,1962,Non-Military Firearms (89431),2095,95654,Yes
Ghana,Export,1962,Non-Military Firearms (89431),2,679,Yes
Greece,Export,1962,Non-Military Firearms (89431),72,8063,Yes
Guadeloupe,Export,1962,Non-Military Firearms (89431),49,3007,Yes
Guatemala,Export,1962,Non-Military Firearms (89431),672,20902,Yes
Guyana,Export,1962,Non-Military Firearms (89431),451,9479,Yes
Honduras,Export,1962,Non-Military Firearms (89431),1169,22011,Yes
Hong Kong,Export,1962,Non-Military Firearms (89431),1277,53345,Yes
Iceland,Export,1962,Non-Military Firearms (89431),125,4253,Yes
